"","sector","val","type","year"
"141","Rio Grande Valley",89927,"apprehensions",2002
"142","San Diego",100681,"apprehensions",2002
"143","Tucson",333648,"apprehensions",2002
"144","Yuma",42654,"apprehensions",2002
"145","Big Bend",10319,"apprehensions",2003
"146","Del Rio",50145,"apprehensions",2003
"147","El Centro",92099,"apprehensions",2003
"148","El Paso",88816,"apprehensions",2003
"149","Laredo",70521,"apprehensions",2003
"150","Rio Grande Valley",77749,"apprehensions",2003
"151","San Diego",111515,"apprehensions",2003
"152","Tucson",347263,"apprehensions",2003
"153","Yuma",56638,"apprehensions",2003
"154","Big Bend",10530,"apprehensions",2004
"155","Del Rio",53794,"apprehensions",2004
"156","El Centro",74467,"apprehensions",2004
"157","El Paso",104399,"apprehensions",2004
"158","Laredo",74706,"apprehensions",2004
"159","Rio Grande Valley",92947,"apprehensions",2004
"160","San Diego",138608,"apprehensions",2004
"161","Tucson",491771,"apprehensions",2004
"162","Yuma",98060,"apprehensions",2004
"163","Big Bend",10536,"apprehensions",2005
"164","Del Rio",68506,"apprehensions",2005
"165","El Centro",55722,"apprehensions",2005
"166","El Paso",122679,"apprehensions",2005
"167","Laredo",75346,"apprehensions",2005
"168","Rio Grande Valley",134186,"apprehensions",2005
"169","San Diego",126904,"apprehensions",2005
"170","Tucson",439079,"apprehensions",2005
"171","Yuma",138438,"apprehensions",2005
"172","Big Bend",7520,"apprehensions",2006
"173","Del Rio",42636,"apprehensions",2006
"174","El Centro",61465,"apprehensions",2006
"175","El Paso",122256,"apprehensions",2006
"176","Laredo",74840,"apprehensions",2006
"177","Rio Grande Valley",110528,"apprehensions",2006
"178","San Diego",142104,"apprehensions",2006
"179","Tucson",392074,"apprehensions",2006
"180","Yuma",118549,"apprehensions",2006
"181","Big Bend",5536,"apprehensions",2007
"182","Del Rio",22920,"apprehensions",2007
"183","El Centro",55883,"apprehensions",2007
"184","El Paso",75464,"apprehensions",2007
"185","Laredo",56714,"apprehensions",2007
"186","Rio Grande Valley",73430,"apprehensions",2007
"187","San Diego",152460,"apprehensions",2007
"188","Tucson",378239,"apprehensions",2007
"189","Yuma",37992,"apprehensions",2007
"190","Big Bend",5391,"apprehensions",2008
"191","Del Rio",20761,"apprehensions",2008
"192","El Centro",40961,"apprehensions",2008
"193","El Paso",30312,"apprehensions",2008
"194","Laredo",43658,"apprehensions",2008
"195","Rio Grande Valley",75473,"apprehensions",2008
"196","San Diego",162390,"apprehensions",2008
